lab_id,model_id,memorable,dominant,attractive,trustworthy,gender-typical,attractive (unstd),trustworthy (unstd),dominant (unstd)
MF0011,0010,4.073170731707317,4.252747252747253,4.261904761904762,4.3522727272727275,5.6125,NA,NA,NA
MF0011,0011,4.280487804878049,3.7032967032967035,4.714285714285714,5.159090909090909,5.425,5.083333333333333,5.126436781609195,3.8191489361702127
MF0012,0001,3.8780487804878048,3.8131868131868134,3.261904761904762,4.181818181818182,5.1375,3.5833333333333335,4.379310344827586,4.031914893617022
MF0012,0002,4.219512195121951,4.582417582417582,3.892857142857143,4.465909090909091,6.0375,3.9404761904761907,4.149425287356322,4.287234042553192
MF0012,0003,3.9390243902439024,3.5384615384615383,4.476190476190476,4.909090909090909,5.1125,4.119047619047619,5.057471264367816,3.9574468085106385
MF0012,0004,4.048780487804878,4.054945054945055,4.654761904761905,4.761363636363637,5.425,4.154761904761905,4.459770114942529,4.0638297872340425
MF0012,0005,4.121951219512195,3.923076923076923,3.892857142857143,4.7727272727272725,4.9875,4.238095238095238,5.022988505747127,3.606382978723404
MF0012,0006,4.2073170731707314,4.461538461538462,4,4.3522727272727275,6.175,3.9404761904761907,4.252873563218391,4.26595744680851
MF0012,0007,4.390243902439025,4.076923076923077,2.761904761904762,3.8068181818181817,5.6625,2.880952380952381,3.7471264367816093,4.053191489361702
MF0012,0008,4.024390243902439,3.5604395604395602,2.761904761904762,4.011363636363637,4.2,2.738095238095238,4.0344827586206895,3.851063829787234
MF0012,0009,3.841463414634146,4.21978021978022,3.619047619047619,4.1022727272727275,4.7625,4.5,4.735632183908046,3.9574468085106385
MF0012,0010,3.9146341463414633,3.3846153846153846,3.0714285714285716,4.125,4.6,3.1666666666666665,4.264367816091954,3.6382978723404253
MF0013,0003,3.7804878048780486,3.4945054945054945,2.761904761904762,4.170454545454546,4.7625,2.761904761904762,4.045977011494253,3.606382978723404
MF0013,0005,4.121951219512195,3.131868131868132,2.8095238095238093,4.193181818181818,4.5125,3.380952380952381,4.471264367816092,3.404255319148936
MF0013,0007,4.182926829268292,3.5384615384615383,3.0357142857142856,4.386363636363637,5.0625,2.8333333333333335,4.264367816091954,3.925531914893617
MF0013,0009,4.378048780487805,4.527472527472527,3.0357142857142856,3.590909090909091,5.525,2.7261904761904763,3.9195402298850577,3.75531914893617
MF0013,0011,3.9146341463414633,4.043956043956044,2.4523809523809526,3.8295454545454546,5.0375,2.7023809523809526,4.379310344827586,3.765957446808511
MF0014,0002,3.902439024390244,3.681318681318681,2.5357142857142856,3.5113636363636362,5.175,2.5238095238095237,3.5632183908045976,3.8617021276595747
MF0014,0003,4.060975609756097,3.769230769230769,3.619047619047619,4.511363636363637,5.4125,4.142857142857143,4.632183908045977,3.4680851063829787
MF0014,0004,4.146341463414634,4.054945054945055,2.2023809523809526,2.6818181818181817,5.0875,2.3095238095238093,3.586206896551724,3.8617021276595747
MF0014,0005,4.085365853658536,3.6923076923076925,3.392857142857143,4.295454545454546,4.9875,3.5714285714285716,4.206896551724138,3.8404255319148937
MF0014,0006,4.341463414634147,3.7472527472527473,2.2142857142857144,3.7954545454545454,5.1875,2.261904761904762,3.9885057471264367,3.393617021276596
MF0014,0007,4.170731707317073,4.3076923076923075,3.357142857142857,3.602272727272727,5.3875,3.380952380952381,3.528735632183908,4.074468085106383
MF0014,0008,4.146341463414634,3.2857142857142856,2.738095238095238,3.8636363636363638,4.3625,2.488095238095238,4.482758620689655,2.7127659574468086
